week,average
2024-01-18,66%
2024-01-11,58%
2024-01-02,71%
2023-12-21,45%
2023-12-14,65%
2023-12-07,63%
2023-11-30,67%
2023-11-23,70%
2023-11-16,68%
2023-11-09,61%
2023-11-02,75%
2023-10-26,61%
2023-10-18,46%
2023-10-12,62%
2023-10-05,70%
2023-09-28,62%
2023-09-21,69%
2023-09-07,48%
2023-08-31,58%
2023-08-24,63%
